1.677,0,1,1
140.671,0.1,1050,1.11
201.343,0.2,2103,1.25
250.751,0.3,3152,1.43
299.775,0.4,4208,1.67
348.159,0.5,5257,2
373.759,0.55,5774,2.22
400.895,0.6,6300,2.5
428.543,0.65,6824,2.86
454.911,0.7,7351,3.33
482.815,0.75,7877,4
497.151,0.775,8136,4.44
514.303,0.8,8402,5
529.919,0.825,8664,5.71
548.863,0.85,8926,6.67
566.783,0.875,9187,8
577.023,0.8875,9320,8.89
588.287,0.9,9447,10
599.551,0.9125,9585,11.43
612.863,0.925,9714,13.33
626.687,0.9375,9843,16
633.855,0.94375,9906,17.78
643.583,0.95,9973,20
653.311,0.95625,10037,22.86
665.087,0.9625,10103,26.67
676.863,0.96875,10168,32
687.103,0.971875,10201,35.56
694.271,0.975,10234,40
705.023,0.978125,10268,45.71
715.775,0.98125,10301,53.33
731.647,0.984375,10332,64
737.791,0.985938,10350,71.11
743.935,0.9875,10365,80
755.711,0.989062,10382,91.43
764.415,0.990625,10398,106.67
780.799,0.992188,10414,128
794.111,0.992969,10423,142.22
805.375,0.99375,10431,160
814.079,0.994531,10439,182.86
826.879,0.995313,10447,213.33
867.327,0.996094,10455,256
913.407,0.996484,10460,284.44
1011.711,0.996875,10464,320
1060.863,0.997266,10468,365.71
1101.823,0.997656,10472,426.67
1134.591,0.998047,10476,512
1147.903,0.998242,10478,568.89
1156.095,0.998437,10480,640
1317.887,0.998633,10482,731.43
1324.031,0.998828,10484,853.33
1374.207,0.999023,10486,1024
1386.495,0.999121,10487,1137.78
1411.071,0.999219,10488,1280
1431.551,0.999316,10489,1462.86
1462.271,0.999414,10490,1706.67
1609.727,0.999512,10491,2048
1650.687,0.999561,10492,2275.56
1650.687,0.999609,10492,2560
1654.783,0.999658,10493,2925.71
1654.783,0.999707,10493,3413.33
1675.263,0.999756,10494,4096
1675.263,0.99978,10494,4551.11
1675.263,0.999805,10494,5120
1691.647,0.999829,10495,5851.43
1691.647,0.999854,10495,6826.67
1691.647,0.999878,10495,8192
1691.647,0.99989,10495,9102.22
1691.647,0.999902,10495,10240
1725.439,0.999915,10496,11702.86
