1.138,0,1,1
2.161,0.1,192,1.11
2.527,0.2,385,1.25
2.875,0.3,576,1.43
3.249,0.4,768,1.67
3.717,0.5,960,2
4.061,0.55,1057,2.22
4.395,0.6,1152,2.5
4.823,0.65,1248,2.86
5.295,0.7,1345,3.33
6.075,0.75,1440,4
6.463,0.775,1488,4.44
7.039,0.8,1536,5
7.795,0.825,1584,5.71
8.431,0.85,1633,6.67
9.103,0.875,1680,8
9.447,0.8875,1704,8.89
9.807,0.9,1729,10
10.239,0.9125,1752,11.43
10.759,0.925,1777,13.33
11.639,0.9375,1800,16
12.375,0.94375,1812,17.78
13.031,0.95,1824,20
13.407,0.95625,1836,22.86
14.103,0.9625,1848,26.67
14.431,0.96875,1860,32
14.807,0.971875,1867,35.56
15.063,0.975,1872,40
15.471,0.978125,1878,45.71
15.935,0.98125,1884,53.33
17.055,0.984375,1890,64
17.375,0.985938,1893,71.11
17.711,0.9875,1896,80
17.903,0.989062,1899,91.43
18.319,0.990625,1902,106.67
18.463,0.992188,1905,128
18.543,0.992969,1907,142.22
18.767,0.99375,1908,160
20.607,0.994531,1910,182.86
20.671,0.995313,1911,213.33
20.863,0.996094,1913,256
20.927,0.996484,1915,284.44
20.927,0.996875,1915,320
20.927,0.997266,1915,365.71
20.959,0.997656,1916,426.67
21.007,0.998047,1917,512
21.007,0.998242,1917,568.89
21.007,0.998437,1917,640
21.135,0.998633,1918,731.43
21.135,0.998828,1918,853.33
21.423,0.999023,1919,1024
21.423,0.999121,1919,1137.78
21.423,0.999219,1919,1280
21.423,0.999316,1919,1462.86
21.423,0.999414,1919,1706.67
22.431,0.999512,1920,2048
