2.591,0,1,1
124.607,0.1,192,1.11
192.639,0.2,384,1.25
251.903,0.3,575,1.43
304.383,0.4,765,1.67
363.263,0.5,956,2
393.471,0.55,1052,2.22
422.911,0.6,1147,2.5
455.167,0.65,1243,2.86
482.047,0.7,1338,3.33
510.975,0.75,1435,4
525.311,0.775,1483,4.44
540.159,0.8,1529,5
558.591,0.825,1577,5.71
580.607,0.85,1626,6.67
603.647,0.875,1673,8
622.591,0.8875,1697,8.89
635.903,0.9,1720,10
650.239,0.9125,1744,11.43
668.159,0.925,1768,13.33
684.031,0.9375,1793,16
696.319,0.94375,1804,17.78
705.535,0.95,1816,20
717.823,0.95625,1828,22.86
735.231,0.9625,1840,26.67
750.591,0.96875,1852,32
758.271,0.971875,1858,35.56
763.903,0.975,1864,40
769.023,0.978125,1870,45.71
778.239,0.98125,1876,53.33
793.599,0.984375,1882,64
798.719,0.985938,1886,71.11
807.935,0.9875,1888,80
812.543,0.989062,1891,91.43
821.247,0.990625,1894,106.67
827.903,0.992188,1897,128
829.439,0.992969,1898,142.22
837.119,0.99375,1900,160
838.143,0.994531,1901,182.86
857.599,0.995313,1903,213.33
863.231,0.996094,1904,256
866.815,0.996484,1905,284.44
878.591,0.996875,1906,320
878.591,0.997266,1906,365.71
885.759,0.997656,1907,426.67
899.583,0.998047,1908,512
899.583,0.998242,1908,568.89
934.911,0.998437,1909,640
934.911,0.998633,1909,731.43
934.911,0.998828,1909,853.33
949.759,0.999023,1910,1024
949.759,0.999121,1910,1137.78
949.759,0.999219,1910,1280
949.759,0.999316,1910,1462.86
949.759,0.999414,1910,1706.67
951.807,0.999512,1911,2048
